variable,region,pooling,sign_constraint,global_prior_mean,global_prior_sd,regional_sd_prior,center,baseline,pillar,contribution_reference,center_mode,scale_mode
media_digital-video_all-plac_all-plat_all-camp_sub-brand-unattr_impressions,,hierarchical,positive,0.021161841,0.198,0.2,0,0,Online Media,,none,none
media_ecommerce-display_all-plac_all-plat_all-camp_sub-brand-effervescent_hero_impressions,,hierarchical,positive,0.009352331,0.198,0.2,0,0,Online Media,,none,none
media_ecommerce-display_all-plac_all-plat_all-camp_sub-brand-liquid_hero_impressions,,hierarchical,positive,0.069305543,0.198,0.2,0,0,Online Media,,none,none
media_ecommerce-display_all-plac_all-plat_all-camp_sub-brand-unattr_impressions,,hierarchical,positive,0.010747139,0.198,0.2,0,0,Online Media,,none,none
media_influencers_all-plac_all-plat_all-camp_sub-brand-effervescent_hero_impressions,,hierarchical,positive,0.002802155,0.198,0.2,0,0,Online Media,,none,none
media_influencers_all-plac_all-plat_all-camp_sub-brand-unattr_impressions,,hierarchical,positive,0.016993026,0.198,0.2,0,0,Online Media,,none,none
media_ooh_all-plac_all-plat_all-camp_sub-brand-unattr_invest_2024,,hierarchical,positive,0.007607202,0.198,0.2,0,0,Online Media,,none,none
media_ooh_all-plac_all-plat_all-camp_sub-brand-unattr_invest_2025,,hierarchical,positive,0.023484955,0.198,0.2,0,0,Online Media,,none,none
media_tv_all-plac_otv_all-camp_sub-brand-effervescent_halo_grps_Liquid,,hierarchical,positive,0.0110588,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_otv_all-camp_sub-brand-effervescent_halo_grps_Tabs,,hierarchical,positive,0.019620144,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_otv_all-camp_sub-brand-effervescent_hero_grps,,hierarchical,positive,0.006570042,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_otv_all-camp_sub-brand-unattr_grps_Effervescent,,hierarchical,positive,0.04682474,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_otv_all-camp_sub-brand-unattr_grps_Liquid,,hierarchical,positive,0.054186182,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_otv_all-camp_sub-brand-unattr_grps_Tabs,,hierarchical,positive,0.050377952,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_ptv_all-camp_sub-brand-unattr_grps_Effervescent,,hierarchical,positive,0.027627354,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_ptv_all-camp_sub-brand-unattr_grps_Liquid,,hierarchical,positive,0.03837434,0.198,0.2,0,0,TV,,none,none
media_tv_all-plac_ptv_all-camp_sub-brand-unattr_grps_Tabs,,hierarchical,positive,0.035166812,0.198,0.2,0,0,TV,,none,none
sales_brand_all-benefit_distribution_tdp_Effervescent,,hierarchical,positive,0.241705076,0.198,0.2,0,1,Baseline,,none,none
sales_brand_all-benefit_distribution_tdp_Liquid,,hierarchical,positive,1.284369728,0.198,0.2,0,1,Baseline,,none,none
sales_brand_all-benefit_distribution_tdp_Tabs,,hierarchical,positive,0.448633881,0.198,0.2,0,1,Baseline,,none,none
sales_brand_all-benefit_price_base-price_Effervescent,,hierarchical,negative,0.168326003,0.198,0.2,0,1,Baseline,,none,none
sales_brand_all-benefit_price_base-price_Liquid,,hierarchical,negative,1.290508189,0.198,0.2,0,1,Baseline,,none,none
sales_brand_all-benefit_price_base-price_Tabs,,hierarchical,negative,1.714868294,0.198,0.2,0,1,Baseline,,none,none
sales_brand_all-benefit_trade_tpr_Effervescent,,hierarchical,positive,1.160814286,0.198,0.2,0,0,Trade,,none,none
sales_brand_all-benefit_trade_tpr_Liquid,,hierarchical,positive,5.952191786,0.198,0.2,0,0,Trade,,none,none
sales_brand_all-benefit_trade_tpr_Tabs,,hierarchical,positive,5.925077221,0.198,0.2,0,0,Trade,,none,none
sales_market_all-benefit_base_sales-volume,,hierarchical,positive,0.75619131,0.198,0.2,0,0,Competitor Sales,,none,none
sales_market_all-benefit_price_base-price_Tabs,,hierarchical,positive,1.427540093,0.198,0.2,0,0,Competitor Price,,none,none
